,batter_id,batter,age,season,level,bats,throws,bat_speed,bat_to_ball,swing_decision,attack_angle,n_pa
5763,686810,Milone_Brennan,22,2023,A,R,R,-0.565167243,0.345674661,2.161809149,2.352734250,201
5764,686810,Milone_Brennan,22,2023,A+,R,L,-0.895943563,1.021296671,3.308934290,2.426744990,63
5765,686810,Milone_Brennan,22,2023,A+,R,R,-0.895943563,0.293599669,2.834986352,2.426744990,152
5766,686823,Brennan_Will,25,2023,MLB,L,L,-1.323907455,1.002638018,-1.219491440,-0.924646128,86
5767,686823,Brennan_Will,25,2023,MLB,L,R,-1.323907455,1.646620417,-1.536148303,-0.924646128,367
5768,686843,Matthiessen_William,25,2023,A+,R,L,1.114638448,-1.274375090,0.463006137,0.439875605,46
5769,686843,Matthiessen_William,25,2023,A+,R,R,1.114638448,-1.051714952,0.027850136,0.439875605,252
5770,686843,Matthiessen_William,25,2023,AA,R,L,0.911353977,-3.295093145,-1.083257389,0.356885364,20
5771,686843,Matthiessen_William,25,2023,AA,R,R,0.911353977,-1.735707107,-1.079813726,0.356885364,75
5772,686846,Crawford_Reggie,22,2023,A,L,L,,-0.632757360,-14.140423983,,1
5773,686846,Crawford_Reggie,22,2023,A,L,R,2.502883506,-0.291431667,-2.906193236,0.088583307,17
5774,686846,Crawford_Reggie,22,2023,A+,L,L,,-6.944430059,-4.595123288,,1
5775,686863,Mateo_Daniel,22,2023,A+,R,L,0.162257496,0.025667524,-2.081783737,-0.893918452,84
5776,686863,Mateo_Daniel,22,2023,A+,R,R,0.162257496,0.488341867,-2.807639342,-0.893918452,368
5777,686894,Wiemer_Joey,24,2023,AAA,R,L,1.067105263,-1.579466105,1.824709363,-0.201812191,5
5778,686894,Wiemer_Joey,24,2023,AAA,R,R,1.067105263,0.856837772,-0.684387950,-0.201812191,16
5779,686894,Wiemer_Joey,24,2023,MLB,R,L,0.584832905,-1.407961105,-0.146872567,-0.341798501,121
5780,686894,Wiemer_Joey,24,2023,MLB,R,R,0.584832905,-0.697572002,0.390140909,-0.341798501,289
5781,686912,Romero_Maxwell,22,2023,A,L,L,1.862745098,-0.151018477,-0.904050392,-0.029740966,38
5782,686912,Romero_Maxwell,22,2023,A,L,R,1.862745098,-1.646163067,-0.556859103,-0.029740966,181
5783,686912,Romero_Maxwell,22,2023,Rk,L,L,2.234300792,1.512109246,-14.575106667,-0.239583333,2
