play_id,game_pk,pitcher_id,pitcher_name,is_strike,bats,throws,location_x,location_z
c249f434-26b4-4639-853b-c39a8deb56b3,717735,592836,Walker_Taijuan,1,R,R,-0.535,3.157
1a9e0f3f-e297-4850-80e5-65419b2330a4,716376,592836,Walker_Taijuan,1,L,R,0.033,1.592
f4efbce1-f472-4a4c-a8a4-7be769105391,717656,592836,Walker_Taijuan,0,L,R,-1.542,2.96
f32ef047-e532-4063-8690-1ab5414387a1,716899,592836,Walker_Taijuan,0,L,R,-0.4,3.842
cac01bc4-3cdb-463c-8a24-3efd761ed2c7,718343,592836,Walker_Taijuan,0,L,R,0.035,0.653
8a84f405-d5db-4022-989a-0f2d01d0ce42,718725,592836,Walker_Taijuan,0,L,R,-1.947,3.862
a704abdd-818e-49ee-b087-13604e7e429d,718019,592836,Walker_Taijuan,0,R,R,-0.942,2.661
23c56fd6-af38-4f2f-9783-76713eacd4e0,717329,592836,Walker_Taijuan,0,R,R,1.643,0.386
d46e80d6-ce8f-4f03-9c17-275f9a34f3cc,718088,592836,Walker_Taijuan,0,L,R,-1.284,2.591
f6081993-854f-4540-ab72-70a3ea970c99,716376,592836,Walker_Taijuan,0,L,R,-1.532,2.648
0a7c08f9-2bef-4bf6-ba21-3a14c5fc421b,716720,592836,Walker_Taijuan,0,L,R,-0.089,3.769
d5a62d2b-e25b-43e4-bdf5-357cec1f2d00,717735,592836,Walker_Taijuan,1,R,R,0.514,2.519
6ea3accf-c973-4705-80ed-3d7979778d2d,718415,592836,Walker_Taijuan,0,R,R,-1.677,1.766
92ddfe56-461a-4441-9724-56ab9dab3cf8,717028,592836,Walker_Taijuan,0,L,R,0.335,1.269
fa480a29-421b-4de4-8549-8102a4b5b537,717397,592836,Walker_Taijuan,1,L,R,0.275,2.695
ed411daa-bf29-4747-80b8-bef329ffe574,717491,592836,Walker_Taijuan,0,L,R,1.418,1.896
c64ba2c0-39e1-471a-8843-fe9da4a39761,717567,592836,Walker_Taijuan,0,R,R,0.107,1.485
836d25a2-1db9-49a0-ba70-9e0c363b6460,716481,592836,Walker_Taijuan,0,L,R,0.61,1.061
873459a2-ef53-4af7-ade1-1d1b70e78782,718343,592836,Walker_Taijuan,1,L,R,-0.209,2.766
b768e98e-f917-47f9-942a-61790ebc1c7d,718652,592836,Walker_Taijuan,0,R,R,-0.588,0.981
8b60fe16-66bc-40f1-8a3e-5768f4e12b4f,717934,592836,Walker_Taijuan,0,L,R,-1.122,3.401
a2399e4e-d742-46b9-b452-abca2a70695b,717189,592836,Walker_Taijuan,1,R,R,0.016,2.906
a41b7b7c-e9a8-4ca9-8274-d2ada65815fb,717567,592836,Walker_Taijuan,0,L,R,-0.173,4.168
370b7ebc-4559-4a37-a2f7-6b6f0df698da,716899,592836,Walker_Taijuan,0,R,R,1.05,0.274
1e29da19-d5d7-4012-b85d-c8c29eb7f598,717028,592836,Walker_Taijuan,0,L,R,-2.513,4.253
ef29185c-4c3e-4bd0-9ce3-10d7bf9043d6,717806,592836,Walker_Taijuan,1,R,R,0.281,1.582
74ed2195-a753-4e03-96cf-4e516873bdd4,717664,592836,Walker_Taijuan,0,R,R,-0.646,1.32
8dd0dcc1-183c-4272-bc2d-95907ea50f9b,718019,592836,Walker_Taijuan,0,L,R,0.458,1.236
79cd1f40-6f54-4c8d-990e-5fc63fb9b1e2,718019,592836,Walker_Taijuan,0,R,R,-0.928,1.454
0ca3f77b-d47a-4421-b3cd-3d27e188d96e,717806,592836,Walker_Taijuan,0,L,R,1.436,2.458
ab8a4d7b-0afc-4abc-98de-57122dbee5df,717491,592836,Walker_Taijuan,1,L,R,-0.918,2.536
ce149659-6b92-4230-8b5e-30dd49bfac70,718652,592836,Walker_Taijuan,1,L,R,-0.532,2.098
d5bedaac-e424-4f57-9402-aab55440212f,717397,592836,Walker_Taijuan,0,L,R,1.297,2.166
2aa4caaa-8d45-4d3a-a7ea-a435b734d258,717329,592836,Walker_Taijuan,0,R,R,-1.302,4.369
2cd50a07-476e-4de1-8d77-a0cd18ec0446,717189,592836,Walker_Taijuan,0,R,R,2.187,1.125
48052eb7-858b-4d23-a60d-dce946d2d210,718270,592836,Walker_Taijuan,0,L,R,0.139,3.748
23ce4b01-eafa-4ebb-b629-a2015754d834,717491,592836,Walker_Taijuan,0,L,R,-0.932,2.049
ab09fcc5-9e83-430e-81d3-1fecea529ebc,716481,592836,Walker_Taijuan,0,R,R,0.904,2.141
7c89083a-1ecd-4a56-b5d0-908cf7a6ef92,717664,592836,Walker_Taijuan,1,R,R,0.405,3.182
41c3f0bd-3556-4863-b7c2-509b271b0a87,716720,592836,Walker_Taijuan,0,R,R,-0.046,1.301
b0d31460-08ed-4da4-9e25-1cd7cbba3a43,717028,592836,Walker_Taijuan,0,R,R,-0.982,3.631
3c0ba6fe-6aa7-4135-8114-f4843a221736,717397,592836,Walker_Taijuan,0,R,R,1.556,2.045
ae3e41ce-8b93-4fc5-b635-eef65af8bbe9,718270,592836,Walker_Taijuan,1,R,R,0.783,2.576
492e22c0-a500-46a5-a979-81d333088adc,716481,592836,Walker_Taijuan,0,L,R,0.437,4.146
9cbf9780-ce4e-4467-abd8-41555c8f55d0,717875,592836,Walker_Taijuan,0,R,R,0.82,3.548
4c05126a-c32c-4e91-8e96-8fbcb236f5cd,717329,592836,Walker_Taijuan,1,L,R,0.794,1.851
d5c207bd-773f-4526-8d7f-65c68605b6a9,717028,592836,Walker_Taijuan,0,L,R,-0.768,1.314
eea53858-d5da-452e-911e-c64768d3c4c0,717656,592836,Walker_Taijuan,0,R,R,-1.65,1.876
63909162-ab2a-42c2-afd7-e7e72c11372a,718725,592836,Walker_Taijuan,0,R,R,1.144,1.945
93cdb8e7-4457-43aa-8e28-d1058cb772f9,717664,592836,Walker_Taijuan,1,L,R,-0.936,3.102
6f35d174-9768-46e7-a8b9-5fafa09286f8,718415,592836,Walker_Taijuan,0,L,R,1.233,1.313
383fd13f-566d-447a-8f86-4474f5affff7,718270,592836,Walker_Taijuan,1,R,R,0.11,2.376
3cf1392f-f049-458c-b1c1-9a17407f5d02,717934,592836,Walker_Taijuan,0,R,R,0.512,-0.087
